호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,4총합,05시-06시 승차인원,05시-06시 하차인원,5총합,06시-07시 승차인원,06시-07시 하차인원,6총합,07시-08시 승차인원,07시-08시 하차인원,7총합,08시-09시 승차인원,08시-09시 하차인원,8총합,09시-10시 승차인원,09시-10시 하차인원,9총합,10시-11시 승차인원,10시-11시 하차인원,10총합,11시-12시 승차인원,11시-12시 하차인원,11총합,12시-13시 승차인원,12시-13시 하차인원,12총합,13시-14시 승차인원,13시-14시 하차인원,13총합,14시-15시 승차인원,14시-15시 하차인원,14총합,15시-16시 승차인원,15시-16시 하차인원,15총합,16시-17시 승차인원,16시-17시 하차인원,16총합,17시-18시 승차인원,17시-18시 하차인원,17총합,18시-19시 승차인원,18시-19시 하차인원,18총합,19시-20시 승차인원,19시-20시 하차인원,19총합,20시-21시 승차인원,20시-21시 하차인원,20총합,21시-22시 승차인원,21시-22시 하차인원,21총합,22시-23시 승차인원,22시-23시 하차인원,22총합,23시-24시 승차인원,23시-24시 하차인원,23총합,00시-01시 승차인원,00시-01시 하차인원,24총합,01시-02시 승차인원,01시-02시 하차인원,1총합,02시-03시 승차인원,02시-03시 하차인원,2총합,03시-04시 승차인원,03시-04시 하차인원,3총합
2호선,성수,64,5,69,5471,3900,9371,9542,33276,42818,23844,72446,96290,31280,252546,283826,25657,155750,181407,24126,88956,113082,28258,78617,106875,37731,81355,119086,48201,87808,136009,59632,86402,146034,73513,83719,157232,94424,80118,174542,150583,80954,231537,254219,81780,335999,135176,48273,183449,100252,24394,124646,85547,18605,104152,58477,16100,74577,22362,13016,35378,3239,6187,9426,1,960,961,0,0,0,0,0,0
2호선,시청,75,0,75,914,2145,3059,2433,20665,23098,5363,74181,79544,9867,223113,232980,14004,90296,104300,20093,31490,51583,25505,27925,53430,24585,27727,52312,30093,29972,60065,36308,25501,61809,44913,23227,68140,56082,21043,77125,106430,23777,130207,170760,23202,193962,64856,13179,78035,49519,8913,58432,43260,8706,51966,27109,7302,34411,10651,4918,15569,1273,1538,2811,0,60,60,0,0,0,0,0,0
2호선,신답,19,0,19,1099,149,1248,1969,841,2810,6013,892,6905,11429,1848,13277,5094,1135,6229,2991,1217,4208,2403,1419,3822,2539,1559,4098,2445,1666,4111,2286,2205,4491,2129,2936,5065,2516,3931,6447,2351,5006,7357,2155,9875,12030,1122,6724,7846,685,3574,4259,507,3851,4358,476,3168,3644,178,1983,2161,35,523,558,0,1,1,0,0,0,0,0,0
2호선,신당,28,4,32,6546,1231,7777,11511,8979,20490,29811,16746,46557,50547,31569,82116,30259,22128,52387,21114,19919,41033,20535,22487,43022,23695,23400,47095,24364,24434,48798,24418,24938,49356,26508,27833,54341,29223,33401,62624,32766,42539,75305,34964,57541,92505,25788,39012,64800,20743,25343,46086,18890,22748,41638,16626,20331,36957,8254,12488,20742,1327,3814,5141,1,50,51,0,0,0,0,0,0
2호선,신대방,200,9,209,24341,1953,26294,34926,9491,44417,90422,14935,105357,131635,25575,157210,85359,19222,104581,49212,19270,68482,40754,20565,61319,40153,23119,63272,38355,27699,66054,33424,31739,65163,31702,42763,74465,33410,50180,83590,35432,64667,100099,33217,95445,128662,21855,80989,102844,16839,57596,74435,13643,61778,75421,10628,57223,67851,5276,32810,38086,867,9176,10043,9,23,32,0,1,1,0,0,0
2호선,신도림,3693,11,3704,36219,5078,41297,53546,20398,73944,139637,46750,186387,149101,109698,258799,96080,73671,169751,66739,68502,135241,64953,70490,135443,73959,71703,145662,77269,76627,153896,79216,73672,152888,84919,81193,166112,90754,96992,187746,111528,123416,234944,129475,179339,308814,78165,126618,204783,65887,80054,145941,66197,73865,140062,52409,68598,121007,23119,51713,74832,2409,21871,24280,15,2787,2802,0,0,0,0,0,0
2호선,신림,212,9,221,37986,4076,42062,67417,17556,84973,183246,28594,211840,262997,44075,307072,164439,43817,208256,95926,42615,138541,80993,47163,128156,85801,51148,136949,81214,59442,140656,74370,66346,140716,72045,82716,154761,77380,103665,181045,80541,138371,218912,81831,219925,301756,56947,191435,248382,48057,127018,175075,44881,122792,167673,38654,111637,150291,22069,72588,94657,4223,21563,25786,2,61,63,0,0,0,0,0,0
2호선,신설동,56,8,64,1231,324,1555,1507,2277,3784,5251,5389,10640,9272,14563,23835,6158,9969,16127,5656,9052,14708,6369,8581,14950,7980,8536,16516,8629,9217,17846,9538,7414,16952,10368,6835,17203,11025,6164,17189,13605,6704,20309,14013,8197,22210,5587,6010,11597,3846,4437,8283,3356,4029,7385,2097,3704,5801,744,2436,3180,122,798,920,0,137,137,0,0,0,0,0,0
2호선,신정네거리,127,1,128,9225,974,10199,18165,3059,21224,52393,4633,57026,46391,11861,58252,26698,8596,35294,19344,7787,27131,17413,9097,26510,18397,10735,29132,15703,12459,28162,13399,13943,27342,12360,18751,31111,13531,24404,37935,13269,32443,45712,12082,49771,61853,7706,37218,44924,5724,21318,27042,4823,20486,25309,3815,17658,21473,1624,11483,13107,280,3265,3545,2,167,169,0,0,0,0,0,0
2호선,신촌,108,11,119,8015,3082,11097,15028,16432,31460,37577,36948,74525,55468,91733,147201,41846,106015,147861,41254,78838,120092,48803,69135,117938,60319,72415,132734,66440,79591,146031,69445,67879,137324,79639,66211,145850,95781,73370,169151,112485,100591,213076,106845,130373,237218,78823,84623,163446,81475,51992,133467,89997,45579,135576,89735,40332,130067,45390,27779,73169,7064,6697,13761,2,38,40,0,0,0,0,0,0
2호선,아현,12,2,14,5015,770,5785,11437,4385,15822,31715,12507,44222,43647,23082,66729,26547,14180,40727,18712,13307,32019,17477,10892,28369,19041,12904,31945,18809,14301,33110,16887,15614,32501,18154,17317,35471,24596,19831,44427,21782,26381,48163,21798,35454,57252,13702,27157,40859,10067,18586,28653,7655,17971,25626,5947,16579,22526,2396,10238,12634,399,2677,3076,1,28,29,0,0,0,0,0,0
2호선,양천구청,22,0,22,5126,1035,6161,12189,2355,14544,33625,4914,38539,31110,9363,40473,19570,5111,24681,13671,4712,18383,12148,5261,17409,11957,7005,18962,10383,8197,18580,8684,9592,18276,8175,12279,20454,8899,15090,23989,9259,21267,30526,9056,31137,40193,4525,25696,30221,3059,15253,18312,2556,14358,16914,2527,11958,14485,825,8755,9580,169,2785,2954,0,17,17,0,0,0,0,0,0
2호선,역삼,48,3,51,3550,7644,11194,9615,42344,51959,16277,155007,171284,26989,367963,394952,25818,295761,321579,26886,126834,153720,34989,70317,105306,42860,63627,106487,52853,71271,124124,61746,54081,115827,82433,48193,130626,103640,45580,149220,217729,54735,272464,275005,60711,335716,154036,39787,193823,91377,24587,115964,85213,20330,105543,56395,17433,73828,21735,10865,32600,3674,3495,7169,1,8,9,0,0,0,0,0,0
2호선,영등포구청,49,2,51,5211,4246,9457,13063,16475,29538,41166,38941,80107,49257,125585,174842,31355,52826,84181,24278,28797,53075,25876,26708,52584,29030,27943,56973,29935,29927,59862,31380,28918,60298,36086,29931,66017,42596,34038,76634,60263,41557,101820,102242,59720,161962,39555,40879,80434,31063,25053,56116,28990,22845,51835,20977,20434,41411,9685,13417,23102,1472,4467,5939,0,134,134,0,0,0,0,0,0
2호선,왕십리(성동구청),716,0,716,6523,942,7465,9444,9137,18581,25886,14250,40136,44964,29299,74263,28819,20288,49107,20439,17723,38162,20442,18862,39304,24048,20887,44935,24701,22437,47138,25239,22301,47540,28737,24900,53637,34599,29938,64537,37567,40656,78223,39030,61091,100121,27652,38144,65796,26659,24452,51111,30921,21707,52628,31191,20761,51952,18756,13996,32752,3457,4886,8343,1,83,84,0,0,0,0,0,0
2호선,용답,1,0,1,2058,374,2432,3237,1311,4548,8465,1914,10379,13766,4484,18250,8092,6744,14836,5791,4310,10101,5449,3782,9231,5893,4137,10030,5861,5272,11133,5479,4757,10236,5992,5729,11721,7411,6829,14240,6790,7883,14673,4951,11895,16846,2933,7818,10751,2306,5885,8191,1664,6397,8061,1179,6025,7204,547,3632,4179,115,1083,1198,1,2,3,0,0,0,0,0,0
2호선,용두(동대문구청),43,1,44,1261,166,1427,1798,1017,2815,5874,2739,8613,9626,5272,14898,5386,3653,9039,4299,3554,7853,4286,4068,8354,4568,4026,8594,4726,4867,9593,5042,4815,9857,5391,5186,10577,5518,4938,10456,5511,5932,11443,5944,8673,14617,3021,6331,9352,1999,3626,5625,1807,3453,5260,939,2509,3448,344,1752,2096,54,473,527,0,1,1,0,0,0,0,0,0
2호선,을지로3가,25,0,25,1309,2153,3462,2807,20052,22859,7161,73080,80241,14344,173369,187713,19048,73391,92439,23127,35277,58404,25568,30469,56037,26078,28753,54831,30188,31380,61568,34222,28977,63199,38805,28427,67232,47884,32536,80420,95071,38410,133481,138423,43636,182059,62067,28144,90211,46850,17161,64011,50519,14787,65306,41605,12773,54378,22449,7940,30389,3558,1923,5481,1,83,84,0,0,0,0,0,0
2호선,을지로4가,24,1,25,989,1068,2057,2162,13629,15791,6102,35251,41353,11920,77702,89622,14137,39707,53844,17249,26074,43323,19376,25224,44600,20029,23843,43872,22078,23231,45309,24553,21819,46372,28430,20059,48489,34442,18928,53370,61602,18928,80530,67070,19529,86599,30416,13599,44015,18658,10142,28800,15443,9478,24921,10790,9184,19974,5185,6393,11578,900,1704,2604,0,14,14,0,0,0,0,0,0
2호선,을지로입구,54,2,56,2474,2892,5366,4598,28359,32957,11379,130190,141569,20156,336538,356694,30184,165551,195735,36547,90551,127098,44777,75152,119929,48982,66650,115632,60596,69690,130286,68845,61721,130566,84034,61047,145081,99817,64102,163919,173616,73006,246622,280389,73380,353769,135707,47576,183283,130672,32322,162994,86660,26935,113595,69552,21746,91298,29953,12385,42338,3286,4674,7960,5,873,878,0,0,0,0,0,0
2호선,이대,41,0,41,3816,916,4732,9945,6729,16674,29066,15147,44213,38890,47267,86157,25759,56401,82160,21210,47750,68960,23175,30822,53997,30664,36823,67487,32011,37928,69939,31302,27960,59262,42754,29618,72372,44206,31611,75817,55274,40813,96087,49996,52805,102801,30503,37605,68108,26426,26079,52505,28240,26534,54774,20247,26169,46416,6985,18451,25436,823,4827,5650,0,32,32,0,0,0,0,0,0
